SKU,Category,New.Category,EDC.Available
10091119,A,A,1
10505458,A,A,1
10234532,A,A,1
10108921,A,A,1
10524078,A,A,1
10317957,A,A,1
10472717,A,A,1
10174640,A,A,1
10030784,A,A,1
10536363,A,A,1
10280355,A,A,1
10276106,A,A,1
10176368,A,A,1
10477363,A,A,1
10531926,A,A,1
10063415,A,A,1
10522077,A,A,0
10480893,A,A,1
10032491,A,A,1
10262768,A,A,1
10532374,A,A,1
10314943,A,A,1
10318241,A,A,0
10055363,A,A,1
10156197,A,A,1
10103985,A,A,1
10147185,A,A,1
10376020,A,A,1
10111373,A,A,1
10162806,A,A,1
10445601,A,A,1
10148913,A,A,1
10187804,A,A,1
10537337,A,A,1
10093626,A,A,1
10488402,A,A,1
10117006,A,A,1
10403142,A,A,1
10108930,A,A,1
10262822,A,A,1
10411726,A,A,1
10318712,A,A,0
10332834,A,A,1
10145173,A,A,1
10146377,A,A,1
10537252,A,A,1
10334892,A,A,1
10147210,A,A,1
10472722,A,A,1
10108887,A,A,1
10014395,A,A,1
10574552,A,A,0
10532366,A,A,1
10160949,A,A,1
10012264,A,A,1
10177039,A,A,1
10451353,A,A,1
10472724,A,A,1
10324524,A,A,1
10227067,A,A,1
10283035,A,A,1
10271933,A,A,1
10173916,A,A,1
10005558,A,A,1
10542370,A,A,1
10232992,A,A,1
10219230,A,A,1
10105275,A,A,1
10472723,A,A,1
10029719,A,A,1
10169546,A,A,1
10384707,A,A,1
10302316,A,A,1
10279276,A,A,1
10544316,A,A,1
10527488,A,A,1
10383116,A,A,1
10472641,A,A,1
10414806,A,A,1
10327706,A,A,1
10111163,A,A,1
10288147,A,A,1
10556405,A,A,1
10490507,A,A,1
10145109,A,A,1
10345871,A,A,1
10481926,A,A,1
10219222,A,A,1
10472532,A,A,1
10315024,A,A,1
10543340,A,A,1
10513537,A,A,1
10184436,A,A,1
10518867,A,A,1
10255145,A,A,1
10473164,A,A,1
10147180,A,A,1
10602103,A,A,1
10267313,A,A,1
10138244,A,A,1
10392209,A,A,1
10608223,A,A,1
10532473,A,A,1
10532572,A,A,1
10264212,A,A,1
10347171,A,A,1
10049865,A,A,0
10063416,A,A,1
10009948,A,A,1
10108926,A,A,1
10409141,A,A,1
10174355,A,A,1
10219500,A,A,1
10149290,A,A,1
10556683,A,A,1
10500995,A,A,1
10229141,A,A,1
10206291,A,A,1
10219905,A,A,1
10268681,A,A,1
10483889,A,A,1
10166420,A,A,1
10581576,A,A,1
10229859,A,A,1
10299785,A,A,1
10392894,A,A,1
10110315,A,A,1
10111193,A,A,1
10513539,A,A,1
10532564,A,A,1
10532465,A,A,1
10109898,A,A,1
10418799,A,A,1
10149288,A,A,1
10329108,A,A,1
10506089,A,A,1
10187886,A,A,1
10272522,A,A,1
10274966,A,A,1
10544318,A,A,1
10166408,A,A,1
10343202,A,A,1
10229135,A,A,1
10221111,A,A,1
10144232,A,A,1
10106464,A,A,1
10569381,A,A,1
10428157,A,A,1
10207789,A,A,1
10272080,A,A,1
10108934,A,A,1
10481930,A,A,1
10014387,A,A,1
10105842,A,A,1
10299782,A,A,1
10476528,A,A,1
10171977,A,A,1
10108928,A,A,1
10212858,A,A,1
10395156,A,A,1
10362169,A,A,1
10109638,A,A,1
10166417,A,A,1
10409084,A,A,1
10409041,A,A,1
10537277,A,A,1
10546751,A,A,1
10143570,A,A,1
10263937,A,A,1
10226520,A,A,1
10617442,A,A,0
10172030,A,A,1
10518866,A,A,1
10037916,A,A,1
10299784,A,A,1
10333467,A,A,1
10485695,A,A,1
10314575,A,A,1
10221283,A,A,1
10311878,A,A,1
10105278,A,A,1
10176279,A,A,1
10154190,A,A,1
10105843,A,A,1
10168651,A,A,1
10166409,A,A,1
10212672,A,A,1
10187811,A,A,1
10347275,A,A,1
10143440,A,A,1
10281302,A,A,1
10272812,A,A,1
10509777,A,A,1
10264210,A,A,1
10333090,A,A,1
10226789,A,A,1
10409501,A,A,1
10546744,A,A,1
10314623,A,A,1
10481936,A,A,1
10108929,A,A,1
10177042,A,A,1
10333455,A,A,1
10219221,A,A,1
10417977,A,A,1
10177043,A,A,1
10332287,A,A,1
10409038,A,A,1
10597757,A,A,1
10112997,A,A,1
10094534,A,A,1
10111327,A,A,1
10203514,A,A,1
10230615,A,A,1
10509567,A,A,1
10409086,A,A,1
10500983,A,A,1
10506091,A,A,1
10388979,A,A,1
10299751,A,A,0
10574047,A,A,1
10428163,A,A,1
10230619,A,A,1
10375270,A,A,1
10581461,A,A,1
10292054,A,A,1
10224334,A,A,1
10517436,A,A,1
10012262,A,A,1
10144582,A,A,1
10122053,A,A,1
10601362,A,A,1
10509776,A,A,1
10602107,A,A,1
10146228,A,A,1
10110312,A,A,1
10032856,A,A,1
10219227,A,A,1
10110311,A,A,1
10326487,A,A,1
10332318,A,A,1
10320344,A,A,1
10522755,A,A,1
10551888,A,A,0
10436592,A,A,1
10524079,A,A,1
10187490,A,A,1
10542367,A,A,1
10500985,A,A,1
10050793,A,A,1
10212673,A,A,1
10601364,A,A,1
10317968,A,A,1
10353848,A,A,1
10166401,A,A,1
10035074,A,A,1
10421601,A,A,1
10564037,A,A,1
10146234,A,A,1
10477312,A,A,1
10505944,A,A,1
10029721,A,A,1
10353842,A,A,1
10148535,A,A,1
10050766,A,A,1
10334538,A,A,1
10065125,A,A,0
10145989,A,A,1
10133757,A,A,1
10110314,A,A,1
10108865,A,A,1
10058763,A,A,1
10346933,A,A,1
10203513,A,A,1
10063419,A,A,1
10299753,A,A,0
10336713,A,A,1
10273616,A,A,1
10453441,A,A,1
10451352,A,A,1
10229860,A,A,1
10430027,A,A,1
10240757,A,A,1
10138228,A,A,1
10074089,A,A,1
10256678,A,A,1
10321119,A,A,1
10012261,A,A,1
10307717,A,A,1
10108936,A,A,1
10470188,A,A,1
10131832,A,A,1
10471236,A,A,1
10234907,A,A,1
10382882,A,A,1
10051267,A,A,1
10333454,A,A,1
10224494,A,A,1
10504507,A,A,1
10406203,A,A,1
10145112,A,A,1
10472642,A,A,1
10445602,A,A,1
10012253,A,A,1
10240759,A,A,1
10410129,A,A,1
10203368,A,A,1
10376019,A,A,1
10121675,A,A,1
10378871,A,A,1
10332080,A,A,1
10323436,A,A,1
10172091,A,A,1
10229136,A,A,1
10030783,A,A,1
10240777,A,A,1
10003950,A,A,1
10232769,A,A,1
10456515,A,A,1
10594227,A,A,1
10269255,A,A,1
10177041,A,A,1
10385157,A,A,1
10194917,A,A,1
10212677,A,A,1
10446567,A,A,1
10091774,A,A,1
10145805,A,A,1
10108927,A,A,1
10342509,A,A,1
10258499,A,A,1
10518765,A,A,1
10186028,A,A,1
10317285,A,A,1
10315008,A,A,1
10409043,A,A,1
10324164,A,A,1
10131830,A,A,1
10317970,A,A,1
10355553,A,A,1
10014388,A,A,1
10172089,A,A,1
10573626,A,A,1
10597756,A,A,1
10410089,A,A,1
10206357,A,A,1
10294775,A,A,1
10212671,A,A,1
10147173,A,A,1
10332336,A,A,1
10091775,A,A,1
10176375,A,A,1
10545061,A,A,1
10108933,A,A,1
10256675,A,A,1
10136303,A,A,1
10154189,A,A,1
10228172,A,A,1
10166422,A,A,1
10157090,A,A,1
10567811,A,A,1
10359616,A,A,1
10326505,A,A,1
10347268,A,A,1
10320347,A,A,1
10232991,A,A,1
10517078,A,A,1
10545244,A,A,1
10414638,A,A,1
10108932,A,A,1
10137861,A,A,1
10012263,A,A,1
10218212,A,A,1
10214731,A,A,1
10014396,A,A,1
10542368,A,A,1
10472540,A,A,1
10216739,A,A,1
10396283,A,A,1
10389380,A,A,1
10494945,A,A,1
10384710,A,A,1
10219091,A,A,1
10143439,A,A,1
10229124,A,A,1
10472544,A,A,1
10183300,A,A,1
10545254,A,A,1
10602111,A,A,1
10532762,A,A,1
10333462,A,A,1
10532663,A,A,1
10315631,A,A,1
10493328,A,A,1
10240775,A,A,1
10240773,A,A,1
10343327,A,A,1
10114092,A,A,1
10240758,A,A,1
10602104,A,A,1
10417332,A,A,1
10324520,A,A,1
10234973,A,A,1
10313465,A,A,0
10518764,A,A,1
10040621,A,A,1
10274942,A,A,1
10310264,A,A,1
10110613,A,A,0
10327826,A,A,1
10273340,A,A,1
10409044,A,A,1
10546803,A,A,1
10308374,A,A,1
10353846,A,A,1
10231269,A,A,1
10518766,A,A,1
10324521,A,A,1
10212856,A,A,1
10447746,A,A,1
10332288,A,A,1
10050089,A,A,1
10147142,A,A,1
10031021,A,A,1
10602117,A,A,1
10472529,A,A,1
10226540,A,A,1
10507258,A,A,1
10117521,A,A,1
10477364,A,A,1
10110205,A,A,0
10500986,A,A,1
10430100,A,A,1
10240760,A,A,1
10409502,A,A,1
10114095,A,A,1
10481699,A,A,1
10361445,A,A,1
10029688,A,A,1
10051561,A,A,1
10346706,A,A,1
10455753,A,A,1
10601361,A,A,1
10573615,A,A,1
10048221,A,A,1
10336674,A,A,1
10385153,A,A,1
10608365,A,A,1
10536725,A,A,1
10540426,A,A,0
10188587,A,A,1
10324513,A,A,1
10525295,A,A,1
10472915,A,A,1
10105844,A,A,0
10417220,A,A,1
10221136,A,A,1
10349599,A,A,1
10598006,A,A,1
10111736,A,A,1
10511756,A,A,1
10215064,A,A,1
10347271,A,A,1
10622532,A,A,1
10264213,A,A,1
