,month,State,New.Category,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Custom_State,Cluster,Cust_State
98,1,B2H,A,40.3908,9,3,CA,B,0.0,B
99,1,B2H,Non-A,40.4044,8,2,CA,B,0.0,B
100,1,B2H,Seasonal,18.4447,3,1,CA,B,0.0,B
101,1,B2N,A,22.1213,4,1,CA,B,0.0,B
102,1,B2T,A,36.8739,6,1,CA,B,0.0,B
103,1,B2T,Non-A,120.7983,45,2,CA,B,0.0,B
104,1,B2V,A,407.0167,8,3,CA,B,0.0,B
105,1,B2V,Seasonal,0.0,1,1,CA,B,0.0,B
106,1,B2W,A,38.3816,10,1,CA,B,0.0,B
107,1,B2W,Non-A,6.9148,1,1,CA,B,0.0,B
108,1,B3G,A,35.628,12,1,CA,B,0.0,B
109,1,B3G,Non-A,6.4533,1,1,CA,B,0.0,B
110,1,B3H,A,36.0661,11,1,CA,B,0.0,B
111,1,B3J,A,6.4533,1,1,CA,B,0.0,B
112,1,B3K,A,129.0362,38,2,CA,B,0.0,B
113,1,B3K,Non-A,0.0,1,1,CA,B,0.0,B
114,1,B3K,Seasonal,16.814,1,1,CA,B,0.0,B
115,1,B3L,A,27.6901,3,1,CA,B,0.0,B
116,1,B3L,Non-A,5.984,2,1,CA,B,0.0,B
117,1,B3L,Seasonal,45.1588,2,1,CA,B,0.0,B
118,1,B3P,A,17.7601,1,1,CA,B,0.0,B
119,1,B3R,Seasonal,45.8041,15,1,CA,B,0.0,B
120,1,B3T,A,60.7414,3,2,CA,B,0.0,B
121,1,B3Z,A,0.0,12,1,CA,B,0.0,B
122,1,B3Z,Non-A,145.9499,25,2,CA,B,0.0,B
123,1,B4A,A,19.5678,1,1,CA,B,0.0,B
124,1,B4C,A,12.2913,2,1,CA,B,0.0,B
125,1,B4H,A,286.1086,3,1,CA,B,0.0,B
126,1,B4N,A,22.5366,10,1,CA,B,0.0,B
127,1,B4N,Non-A,17.1986,4,1,CA,B,0.0,B
128,1,B4P,A,16.1678,10,1,CA,B,0.0,B
129,1,B5A,A,48.9422,7,2,CA,B,0.0,B
130,1,B5A,Non-A,66.0177,7,2,CA,B,0.0,B
131,1,B9A,A,226.0903,6,1,CA,B,0.0,B
132,1,C0B,A,0.0,12,1,CA,C,0.0,C
133,1,C0B,Non-A,77.8015,9,3,CA,C,0.0,C
134,1,C0B,Seasonal,207.468,27,1,CA,C,0.0,C
135,1,C1A,A,12.2913,3,1,CA,C,0.0,C
136,1,C1B,Non-A,16.1372,2,1,CA,C,0.0,C
137,1,C1N,A,200.4699,28,6,CA,C,0.0,C
138,1,C1N,Non-A,26.9133,12,3,CA,C,0.0,C
139,1,CA,A,473666.49,82690,11007,US,CA,5.0,CA
140,1,CA,Non-A,163890.92,28780,5809,US,CA,5.0,CA
141,1,CA,Seasonal,198554.46,35778,5895,US,CA,5.0,CA
142,1,CO,A,84377.69,13741,1934,US,CO,4.0,CO
143,1,CO,Non-A,22633.04,4656,995,US,CO,4.0,CO
144,1,CO,Seasonal,29938.9,4562,908,US,CO,4.0,CO
145,1,CT,A,71131.76,13609,1618,US,CT,0.0,CT
146,1,CT,Non-A,17954.58,3530,737,US,CT,0.0,CT
147,1,CT,Seasonal,21914.41,4132,640,US,CT,0.0,CT
148,1,DC,A,11215.96,2177,347,US,DC,1.0,DC
149,1,DC,Non-A,3750.65,720,179,US,DC,1.0,DC
150,1,DC,Seasonal,2772.71,623,129,US,DC,1.0,DC
151,1,DE,A,23304.26,3791,554,US,DE,1.0,DE
152,1,DE,Non-A,6838.37,1457,266,US,DE,1.0,DE
153,1,DE,Seasonal,13551.14,1940,263,US,DE,1.0,DE
154,1,E1A,A,127.6358,9,2,CA,E,0.0,E
155,1,E1A,Non-A,0.0,20,1,CA,E,0.0,E
156,1,E1A,Seasonal,33.8358,1,1,CA,E,0.0,E
157,1,E1B,A,216.0748,31,3,CA,E,0.0,E
158,1,E1B,Non-A,18.4447,9,3,CA,E,0.0,E
159,1,E1B,Seasonal,0.0,1,1,CA,E,0.0,E
160,1,E1C,A,0.0,12,2,CA,E,0.0,E
161,1,E1C,Non-A,255.6339,20,4,CA,E,0.0,E
162,1,E1C,Seasonal,0.0,1,1,CA,E,0.0,E
163,1,E1E,Non-A,71.4943,8,2,CA,E,0.0,E
164,1,E1E,Seasonal,0.0,1,1,CA,E,0.0,E
165,1,E1H,Seasonal,61.472,8,1,CA,E,0.0,E
